cinema_name,street,suburb,postcode,cinema_type,latitude,longitude,state
M. Smith,nan,Smithton,7330,Indoor Cinema,-40.841976,145.125791,TAS
Claremont,nan,Smithton,7330,Indoor Cinema,-40.841698,145.12348400000002,TAS
Ideal,nan,Smithton,7330,Indoor Cinema,-40.840587,145.125073,TAS
Crystal,nan,Stanley,7331,Indoor Cinema,-40.760463,145.294093,TAS
Hall,nan,"Grassy, King Island",7256,Indoor Cinema,-40.048668,144.054169,TAS
M. Gatenby,nan,"Currie, King Island",7256,Indoor Cinema,-39.928242,143.85231000000002,TAS
Tidal River,nan,Tidal River,3960,Indoor Cinema,-39.030794,146.325723,VIC
Public Hall/ Open Air,nan,Tidal River,3960,Open Air Cinema,-39.03078,146.32571000000002,VIC
Lyric,nan,Apollo Bay,3233,Indoor Cinema,-38.748000000000005,143.67,VIC
B. Cockerill,nan,Port Welshpool,3965,Touring Circuit,-38.699688,146.463106,VIC
Public Hall/ Open Air,nan,Fish Creek,3959,Open Air Cinema,-38.69424,146.082194,VIC
Lawrence Bros. Talkies,nan,Fish Creek,3959,Touring Circuit,-38.694210999999996,146.082197,VIC
A. J. C. Bateman,nan,Lavers Hill,3238,Touring Circuit,-38.682515,143.388183,VIC
T. Ahern,nan,Welshpool,3966,Touring Circuit,-38.665603999999995,146.437597,VIC
D. G. Paine,nan,Port Albert,3971,Indoor Cinema,-38.665572,146.688416,VIC
Public Hall,nan,Welshpool,3966,Indoor Cinema,-38.665191,146.439191,VIC
Lawrence Bros. Talkies,nan,Toora,3962,Touring Circuit,-38.662946999999996,146.32818600000002,VIC
T. Ahern,nan,Toora,3962,Touring Circuit,-38.662808,146.327902,VIC
Mechanics,nan,Toora,3962,Indoor Cinema,-38.662,146.327,VIC
B. Cockerill,nan,Foster,3960,Touring Circuit,-38.653,146.202,VIC
Pictures,nan,Foster,3960,Indoor Cinema,-38.652573,146.201074,VIC
T. Ahern,nan,Foster,3960,Touring Circuit,-38.652462,146.201861,VIC
Lawrence Bros. Talkies,nan,Foster,3960,Touring Circuit,-38.652394,146.202311,VIC
A. J. J. Bateman,nan,Beech Forrest,3237,Touring Circuit,-38.637069,143.57092,VIC
Public Hall,nan,Beech Forest,3237,Indoor Cinema,-38.636607,143.569677,VIC
Mechanics,nan,Inverloch,3996,Indoor Cinema,-38.633,145.73,VIC
Drive-In,Cashin Street,Inverloch,3996,Drive-In,-38.628291,145.716779,VIC
Miners' Union,nan,Wonthaggi,3995,Indoor Cinema,-38.606,145.589,VIC
Public Hall,nan,Meeniyan,3956,Indoor Cinema,-38.578872,146.01198,VIC
B. Cockerill,nan,Meeniyan (Weenihan),3956,Touring Circuit,-38.578359999999996,146.012903,VIC
T. Ahern,nan,Meeniyan,3956,Touring Circuit,-38.578016999999996,146.013772,VIC
Lawrence Bros. Talkies,nan,Meenyian,3956,Touring Circuit,-38.577692,146.014717,VIC
Regent,nan,Yarram,3971,Indoor Cinema,-38.562,146.67600000000002,VIC
Lorne,nan,Lorne,3232,Indoor Cinema,-38.543613799999996,143.9780572,VIC
Public Hall,nan,Dumbalk,3956,Indoor Cinema,-38.532,146.095,VIC
A. J. J. Bateman,nan,Gellibrand,3239,Touring Circuit,-38.524924,143.540186,VIC
Remo,nan,San Remo,3925,Indoor Cinema,-38.521,145.373,VIC
Public Hall,nan,Forrest,3236,Indoor Cinema,-38.519,143.715,VIC
A. J. J. Bateman,nan,Forrest,3236,Touring Circuit,-38.514151,143.71542,VIC
A. R. Anderson,nan,Nirranda,3268,Indoor Cinema,-38.500578000000004,142.762357,VIC
Public Hall,nan,Timboon,3268,Indoor Cinema,-38.483799,142.97977,VIC
Memorial Hall,nan,Leongatha,3953,Indoor Cinema,-38.476,145.946,VIC
Public Hall,nan,Flinders,3929,Indoor Cinema,-38.474000000000004,145.016,VIC
Shire Hall,nan,Cowes,3922,Indoor Cinema,-38.45,145.239,VIC
Korrumburra,nan,Korrumburra,3950,Indoor Cinema,-38.431999999999995,145.82399999999998,VIC
A. R. Anderson,nan,Ayreford,3268,Touring Circuit,-38.415663,142.85945,VIC
Mrs. V. Ward,nan,Anglesea,3230,Indoor Cinema,-38.404915,144.188784,VIC
Shire Hall,nan,Mirboo North,3871,Indoor Cinema,-38.400999999999996,146.161,VIC
A. J. C. Bateman,nan,Deans Marsh,3235,Touring Circuit,-38.397543,143.885966,VIC
Camp Hill,nan,Somers,3927,Indoor Cinema,-38.394046,145.162158,VIC
B. Cockerill,nan,Boolarra,3870,Touring Circuit,-38.385767,146.278611,VIC
J. H.Lindsay,nan,Boolarra,3870,Touring Circuit,-38.385181,146.27403999999999,VIC
N. V. Teychenne,nan,Boolarra,3870,Touring Circuit,-38.384935,146.271972,VIC
A. & D. Sandilands,nan,Boolarra,3870,Touring Circuit,-38.384741999999996,146.270462,VIC
Palace,nan,Port Fairy,3284,Indoor Cinema,-38.384178000000006,142.236951,VIC
Capitol,56 Kepler Street,Warrnambool,3280,Indoor Cinema,-38.382503,142.481634,VIC
Liberty,120 Lava Street,Warrnambool,3280,Indoor Cinema,-38.381351,142.48422,VIC
Lawrence Bros. Talkies,nan,Boolarra,3870,Touring Circuit,-38.379899,146.274263,VIC
Open Air Pics.,nan,Balnarring,3926,Open Air Cinema,-38.373497,145.126733,VIC
Rye,nan,Rye,3941,Indoor Cinema,-38.370886,144.82484,VIC
A. J. J. Bateman,nan,Carpendilt,3260,Touring Circuit,-38.370225,143.24183100000002,VIC
A. R. Anderson,nan,Carpendilt,3260,Touring Circuit,-38.370222,143.241828,VIC
Public Hall,nan,Loch,3945,Indoor Cinema,-38.368727,145.706222,VIC
Public Hall,nan,Crib Point,3919,Indoor Cinema,-38.366,145.204,VIC
Shandon,1157 Raglan Parade,Warrnambool,3280,Drive-In,-38.364000000000004,142.4558,VIC
Broadway,Corner Point Nepean Road and Rosebud Parade,Rosebud,3939,Indoor Cinema,-38.355136,144.905922,VIC
Star,nan,Portland,3305,Indoor Cinema,-38.351,141.588,VIC
Cloudland,nan,Portland,3305,Drive-In,-38.346969,141.58476100000001,VIC
Public Hall,nan,Poowong,3988,Indoor Cinema,-38.343,145.765,VIC
