id,latitude,longitude,australian_states_id,locality_types_id,film_weekly_cinema_types_id,street,suburb,postcode,cinema_name,exhibitor_name,capacity,shortname,description,description,helper column
93,-42.141375,147.421349,8,3,3,,Tunbridge,7120,Cowling and Maum,Cowling and Maum,NULL,TAS,Touring Circuit,Rural,0
94,-42.123984,148.076128,8,3,1,,Swansea,7190,Regent,R. M. Lewis,200,TAS,Indoor Cinema,Rural,1
95,-42.082201,145.552812,8,3,1,McNamara Street,Queenstown,7467,Paragon,L. G. Miers,900,TAS,Indoor Cinema,Rural,0
96,-42.080026,145.556354,8,3,1,,Queenstown,7467,Capitol,A. F. Leach & J. R. East ..,600,TAS,Indoor Cinema,Rural,1
97,-42.079677,146.559406,8,3,3,,Anywhere in Tasmania.,,A. D. & A. E. Bye,"A. D. & A. E. Bye, Box 9, P.O. Campbell Town",NULL,TAS,Touring Circuit,Rural,0
98,-42.073145,145.592841,8,3,1,,Gormanston,7466,Mount Lyell Hall,Paragon Picture Co. Ltd.,300,TAS,Indoor Cinema,Rural,1
99,-42.027962,147.492865,8,3,3,,Ross,7209,Campbell Town and Circuit,"A. D. & A. E. Bye, Box 9, P.O. Campbell Town",NULL,TAS,Touring Circuit,Rural,0
100,-41.928957,147.4936,8,3,1,,Campbelltown,7210,Touring,Bye Bros,500,TAS,Indoor Cinema,Rural,1
101,-41.92669,147.491738,8,3,3,,Campbell Town,7210,Campbell Town and Circuit,"A. D. & A. E. Bye, Box 9, P.O. Campbell Town",NULL,TAS,Touring Circuit,Rural,0
102,-41.88601,145.337973,8,3,1,,Zeehan,7469,Gaiety,Zeehan Amusements Pty. Ltd.,500,TAS,Indoor Cinema,Rural,1
103,-41.821612,145.516137,8,3,1,,Williamsford,7470,Tasma,Tasma Pictures Pty. Ltd.,200,TAS,Indoor Cinema,Rural,0
104,-41.782268,147.720271,8,3,3,,Avoca,7213,Campbell Town and Circuit,"A. D. & A. E. Bye, Box 9, P.O. Campbell Town",NULL,TAS,Touring Circuit,Rural,1
105,-41.779208,145.540157,8,3,1,,Rosebery,7470,Tasma,Tasma Pictures Pty. Ltd.,390,TAS,Indoor Cinema,Rural,0
106,-41.739064,145.614948,8,3,1,,Tullah,7321,Tasma,Tasma Pictures Pty. Ltd.,200,TAS,Indoor Cinema,Rural,1
107,-41.685972,147.08031,8,3,3,,Cressy,7302,Campbell Town and Circuit,"A. D. & A. E. Bye, Box 9, P.O. Campbell Town",NULL,TAS,Touring Circuit,Rural,0
108,-41.668711,147.746699,8,3,1,,Rossarden,7213,Public Hall,Arthur Brown,250,TAS,Indoor Cinema,Rural,1
109,-41.648266,146.93862,8,3,3,,Bracknell,7302,Campbell Town and Circuit,"A. D. & A. E. Bye, Box 9, P.O. Campbell Town",NULL,TAS,Touring Circuit,Rural,0
110,-41.637209,147.976463,8,3,1,,Fingal,7214,Hall,A. Brown,1215,TAS,Indoor Cinema,Rural,1
111,-41.63,147.73,8,3,1,,Storey's Creek,7213,Storey's Creek,A. Brown,150,TAS,Indoor Cinema,Rural,0
112,-41.595872,147.121959,8,3,1,,Longford,7301,Foresters,Star Theatres Pty. Ltd.,275,TAS,Indoor Cinema,Rural,1
